description,amount,type,payment_mode,category
Bank transfer salary,15873.85,Income,Bank Transfer,Salary
Online course subscription,36448.93,Expense,Online,Education
Water bill,35767.34,Expense,Online,Utilities
Bought groceries at supermarket,13002.12,Expense,Online,Grocery
Bought protein powder,44399.5,Expense,Bank Transfer,Fitness
Salary credited,46422.21,Income,Cash,Salary
Train ticket,6345.95,Expense,Card,Transport
Bought clothes online,39473.43,Expense,UPI,Shopping
Water bill,15759.07,Expense,Card,Utilities
Online course subscription,26615.08,Expense,UPI,Education
Freelance graphic design,3584.11,Income,UPI,Freelance
Flight ticket booking,22240.18,Expense,Card,Travel
Doctor consultation,31400.4,Expense,UPI,Health
Bought clothes online,6910.05,Expense,Card,Shopping
Petrol for bike,45986.47,Expense,Cash,Transport
Shopping for birthday gift,41403.75,Expense,UPI,Shopping
Hotel reservation,9643.2,Expense,Card,Travel
Monthly gym subscription,40894.09,Expense,Cash,Fitness
Bought protein powder,30987.24,Expense,UPI,Fitness
College fee,12351.3,Expense,Card,Education
Freelance writing payment,35882.07,Income,Cash,Freelance
Bank transfer salary,28093.39,Income,Card,Salary
Yoga class payment,32201.71,Expense,Online,Fitness
Train ticket,10065.16,Expense,Cash,Transport
Bought groceries at supermarket,42678.9,Expense,Cash,Grocery
Lab test fees,27245.11,Expense,Online,Health
Petrol for bike,36234.91,Expense,Cash,Transport
Freelance writing payment,17228.94,Income,UPI,Freelance
Bought protein powder,25477.17,Expense,UPI,Fitness
Concert ticket,36621.35,Expense,Cash,Entertainment
Vegetables and fruits,31335.03,Expense,Online,Grocery
Lab test fees,28105.99,Expense,Card,Health
Paid house rent,10939.47,Expense,UPI,Rent
Vegetables and fruits,40212.84,Expense,UPI,Grocery
Petrol for bike,31257.82,Expense,Bank Transfer,Transport
Monthly salary received,24423.59,Income,UPI,Salary
Shopping for birthday gift,28801.37,Expense,UPI,Shopping
Flight ticket booking,46808.19,Expense,Cash,Travel
Internet subscription,26995.89,Expense,Bank Transfer,Utilities
Bought textbooks,46395.73,Expense,Card,Education
Paid house rent,13998.48,Expense,Online,Rent
Bus fare,13826.14,Expense,Online,Travel
Monthly grocery shopping,30317.21,Expense,UPI,Grocery
Bank transfer salary,4921.45,Income,Online,Salary
Concert ticket,42206.02,Expense,Cash,Entertainment
Monthly grocery shopping,1651.85,Expense,Bank Transfer,Grocery
Hotel reservation,12420.9,Expense,Online,Travel
Ordered food online,33140.15,Expense,Cash,Food
Internet subscription,35185.12,Expense,Bank Transfer,Utilities
Ordered food online,8168.68,Expense,Online,Food
Shopping for birthday gift,36362.98,Expense,Online,Shopping
Train ticket,32651.22,Expense,Cash,Transport
Bank transfer salary,14730.54,Income,Cash,Salary
Paid house rent,18486.29,Expense,Bank Transfer,Rent
Online course subscription,11419.1,Expense,UPI,Education
Monthly rent,23877.22,Expense,Card,Rent
Electricity bill payment,14667.85,Expense,Cash,Utilities
Paid house rent,27303.24,Expense,UPI,Rent
Apartment maintenance fee,25421.3,Expense,Cash,Rent
Ordered food online,36845.27,Expense,Online,Food
Monthly salary received,285.34,Income,UPI,Salary
Ordered food online,9849.24,Expense,Card,Food
Monthly grocery shopping,24585.77,Expense,Online,Grocery
Dinner at restaurant,25697.18,Expense,Bank Transfer,Food
Lunch at cafeteria,22735.01,Expense,Online,Food
Train ticket,219.16,Expense,Card,Transport
Medicine purchase,39856.49,Expense,Cash,Health
Ordered food online,42285.53,Expense,UPI,Food
Lunch at cafeteria,23333.8,Expense,Cash,Food
Train ticket,7699.32,Expense,Cash,Transport
Hotel reservation,21813.67,Expense,Cash,Travel
New shoes from mall,33444.06,Expense,Card,Shopping
Lab test fees,24450.75,Expense,Bank Transfer,Health
Doctor consultation,9291.4,Expense,Card,Health
Cab fare,34384.84,Expense,Cash,Transport
Petrol for bike,33078.37,Expense,Online,Transport
Yoga class payment,36009.03,Expense,Online,Fitness
Petrol for bike,14652.71,Expense,Bank Transfer,Transport
Monthly grocery shopping,42754.42,Expense,Online,Grocery
Freelance graphic design,7298.63,Income,Bank Transfer,Freelance
Lab test fees,32029.48,Expense,Cash,Health
Monthly rent,40079.37,Expense,Card,Rent
Bought protein powder,33337.82,Expense,Online,Fitness
Bought textbooks,2711.52,Expense,Online,Education
Salary credited,45243.29,Income,Cash,Salary
Train ticket,19094.45,Expense,Card,Transport
Medicine purchase,34801.42,Expense,Bank Transfer,Health
Paid house rent,21791.48,Expense,UPI,Rent
Shopping for birthday gift,9271.99,Expense,UPI,Shopping
Netflix subscription,35960.56,Expense,Card,Entertainment
Shopping for birthday gift,2779.4,Expense,Online,Shopping
Lunch at cafeteria,47639.44,Expense,Card,Food
Medicine purchase,17367.16,Expense,Online,Health
Netflix subscription,47438.51,Expense,Card,Entertainment
Medicine purchase,21082.1,Expense,Bank Transfer,Health
Train ticket,28036.5,Expense,Card,Transport
Electricity bill payment,47655.99,Expense,Online,Utilities
Internet subscription,5303.22,Expense,Online,Utilities
Shopping for birthday gift,30383.38,Expense,Online,Shopping
Monthly rent,9594.07,Expense,Online,Rent
Lunch at cafeteria,6778.11,Expense,Cash,Food
Flight ticket booking,25942.65,Expense,Online,Travel
Yoga class payment,486.85,Expense,Card,Fitness
Hotel reservation,42823.7,Expense,Card,Travel
Bus fare,9038.66,Expense,Cash,Travel
Vegetables and fruits,43454.08,Expense,Cash,Grocery
Train ticket,24651.56,Expense,Bank Transfer,Transport
Lab test fees,37653.46,Expense,Card,Health
Lunch at cafeteria,5626.71,Expense,Online,Food
Lab test fees,8334.32,Expense,Bank Transfer,Health
Bought textbooks,26616.45,Expense,Bank Transfer,Education
Concert ticket,29411.96,Expense,Cash,Entertainment
Concert ticket,43522.47,Expense,Bank Transfer,Entertainment
Monthly rent,47842.26,Expense,Cash,Rent
Movie tickets,38466.03,Expense,Card,Entertainment
Apartment maintenance fee,11492.05,Expense,Cash,Rent
New shoes from mall,48978.27,Expense,Online,Shopping
Netflix subscription,38500.52,Expense,UPI,Entertainment
Online course subscription,19517.7,Expense,Online,Education
Ordered food online,14102.74,Expense,Cash,Food
Apartment maintenance fee,37528.07,Expense,Bank Transfer,Rent
Monthly rent,13816.59,Expense,Bank Transfer,Rent
Monthly grocery shopping,8725.16,Expense,Cash,Grocery
Freelance graphic design,3090.93,Income,Card,Freelance
Doctor consultation,8982.15,Expense,Online,Health
Water bill,18874.54,Expense,Card,Utilities
Bus fare,42951.6,Expense,Card,Travel
Concert ticket,14864.81,Expense,Card,Entertainment
New shoes from mall,46615.6,Expense,Online,Shopping
Lab test fees,48201.55,Expense,Bank Transfer,Health
Hotel reservation,46628.87,Expense,Online,Travel
Freelance writing payment,2702.47,Income,Bank Transfer,Freelance
Monthly rent,25766.7,Expense,UPI,Rent
Medicine purchase,32591.11,Expense,Online,Health
Ordered food online,10834.89,Expense,Bank Transfer,Food
Hotel reservation,33264.18,Expense,UPI,Travel
Freelance writing payment,28816.81,Income,Bank Transfer,Freelance
Paid house rent,19645.04,Expense,Online,Rent
Water bill,12929.67,Expense,Bank Transfer,Utilities
Freelance writing payment,32168.46,Income,Bank Transfer,Freelance
Bank transfer salary,25232.14,Income,UPI,Salary
Yoga class payment,10346.94,Expense,Online,Fitness
Dinner at restaurant,49759.85,Expense,Online,Food
Monthly grocery shopping,24979.4,Expense,UPI,Grocery
Shopping for birthday gift,39146.22,Expense,Online,Shopping
Flight ticket booking,13317.13,Expense,UPI,Travel
Shopping for birthday gift,15578.1,Expense,Bank Transfer,Shopping
Freelance graphic design,27253.84,Income,Cash,Freelance
Cab fare,44427.15,Expense,Cash,Transport
Petrol for bike,22472.8,Expense,UPI,Transport
Bank transfer salary,36037.78,Income,UPI,Salary
Bus fare,22053.8,Expense,Online,Travel
Bus fare,1757.52,Expense,Card,Travel
Monthly rent,17124.21,Expense,Cash,Rent
Freelance graphic design,45025.79,Income,UPI,Freelance
Netflix subscription,33120.05,Expense,Online,Entertainment
Water bill,43638.99,Expense,Card,Utilities
Freelance writing payment,44140.66,Income,Online,Freelance
Salary credited,43902.14,Income,Cash,Salary
Freelance graphic design,1346.67,Income,Online,Freelance
Concert ticket,6019.32,Expense,Cash,Entertainment
Petrol for bike,25112.64,Expense,Card,Transport
Apartment maintenance fee,33639.15,Expense,Cash,Rent
Flight ticket booking,47011.4,Expense,Bank Transfer,Travel
Shopping for birthday gift,32107.76,Expense,Card,Shopping
Bought clothes online,1701.1,Expense,Cash,Shopping
Flight ticket booking,38285.39,Expense,Card,Travel
Bought textbooks,31224.86,Expense,UPI,Education
Vegetables and fruits,5854.67,Expense,Cash,Grocery
Freelance web development,20631.92,Income,Bank Transfer,Freelance
Vegetables and fruits,47301.43,Expense,Online,Grocery
Bought clothes online,27620.93,Expense,Online,Shopping
Salary credited,22044.02,Income,Bank Transfer,Salary
Ordered food online,26627.56,Expense,Online,Food
Apartment maintenance fee,17752.2,Expense,Online,Rent
College fee,31081.43,Expense,Cash,Education
Monthly grocery shopping,45404.97,Expense,Cash,Grocery
Apartment maintenance fee,8941.67,Expense,Online,Rent
Internet subscription,40428.11,Expense,Cash,Utilities
Medicine purchase,41178.6,Expense,Cash,Health
Apartment maintenance fee,9870.91,Expense,Card,Rent
Lab test fees,4785.29,Expense,Bank Transfer,Health
Dinner at restaurant,20679.57,Expense,Bank Transfer,Food
Paid house rent,16025.57,Expense,Bank Transfer,Rent
Petrol for bike,31706.65,Expense,UPI,Transport
Freelance writing payment,32568.88,Income,Bank Transfer,Freelance
Monthly grocery shopping,35189.18,Expense,Bank Transfer,Grocery
Paid house rent,5578.73,Expense,Bank Transfer,Rent
Paid house rent,21601.76,Expense,UPI,Rent
Internet subscription,1890.92,Expense,Online,Utilities
Cab fare,16368.1,Expense,Online,Transport
Concert ticket,13878.19,Expense,Online,Entertainment
Bought textbooks,35724.57,Expense,Online,Education
Vegetables and fruits,24978.37,Expense,UPI,Grocery
Vegetables and fruits,36651.64,Expense,UPI,Grocery
Flight ticket booking,41166.79,Expense,Cash,Travel
Freelance graphic design,849.71,Income,UPI,Freelance
Freelance writing payment,2490.09,Income,UPI,Freelance
Hotel reservation,3426.86,Expense,Card,Travel
Monthly rent,12158.89,Expense,UPI,Rent
Doctor consultation,44726.85,Expense,Cash,Health
Petrol for bike,49950.2,Expense,UPI,Transport
Online course subscription,43282.44,Expense,Bank Transfer,Education
Vegetables and fruits,25461.69,Expense,Online,Grocery
Doctor consultation,40157.6,Expense,Online,Health
Netflix subscription,28123.58,Expense,Online,Entertainment
Bought clothes online,11970.33,Expense,Online,Shopping
Cab fare,25083.91,Expense,Cash,Transport
Paid house rent,6124.4,Expense,UPI,Rent
Bus fare,34462.61,Expense,UPI,Travel
Monthly gym subscription,41194.99,Expense,Online,Fitness
Medicine purchase,28237.53,Expense,Online,Health
Cab fare,4274.83,Expense,Online,Transport
Medicine purchase,19304.8,Expense,UPI,Health
Doctor consultation,40592.95,Expense,Bank Transfer,Health
Netflix subscription,17913.42,Expense,Card,Entertainment
Medicine purchase,40571.7,Expense,Card,Health
Doctor consultation,36029.76,Expense,Bank Transfer,Health
Petrol for bike,12502.41,Expense,Card,Transport
Bought clothes online,43781.74,Expense,UPI,Shopping
Concert ticket,44371.89,Expense,Bank Transfer,Entertainment
Bought clothes online,16374.91,Expense,Card,Shopping
Bank transfer salary,766.41,Income,Card,Salary
Petrol for bike,21482.06,Expense,Cash,Transport
Bought clothes online,38980.24,Expense,Online,Shopping
Medicine purchase,25807.23,Expense,Online,Health
Bought textbooks,3852.98,Expense,Online,Education
Train ticket,12427.24,Expense,Bank Transfer,Transport
Bought protein powder,34227.39,Expense,UPI,Fitness
Movie tickets,29072.64,Expense,Online,Entertainment
Bus fare,26165.24,Expense,UPI,Travel
Water bill,1678.77,Expense,Card,Utilities
Petrol for bike,45900.89,Expense,Online,Transport
Lab test fees,20576.46,Expense,Online,Health
Train ticket,28634.51,Expense,Cash,Transport
Paid house rent,23373.67,Expense,Card,Rent
Doctor consultation,13949.85,Expense,Card,Health
Hotel reservation,40398.68,Expense,Online,Travel
Concert ticket,4787.39,Expense,Cash,Entertainment
New shoes from mall,5133.89,Expense,Online,Shopping
Flight ticket booking,22661.47,Expense,Online,Travel
Monthly rent,21403.29,Expense,Online,Rent
Bought protein powder,45593.28,Expense,Bank Transfer,Fitness
Doctor consultation,5755.66,Expense,Card,Health
Monthly salary received,48656.1,Income,Bank Transfer,Salary
Shopping for birthday gift,35410.99,Expense,Online,Shopping
Yoga class payment,9261.46,Expense,Bank Transfer,Fitness
Monthly salary received,35458.52,Income,Cash,Salary
Train ticket,27562.03,Expense,Cash,Transport
Bought textbooks,46784.76,Expense,UPI,Education
Salary credited,15223.35,Income,Online,Salary
Train ticket,35195.89,Expense,Online,Transport
Movie tickets,37813.9,Expense,UPI,Entertainment
Salary credited,30029.55,Income,Bank Transfer,Salary
Paid house rent,38447.51,Expense,Bank Transfer,Rent
Bought protein powder,21426.47,Expense,Bank Transfer,Fitness
Concert ticket,7679.01,Expense,Online,Entertainment
Petrol for bike,43186.63,Expense,UPI,Transport
Internet subscription,4521.49,Expense,Online,Utilities
Salary credited,5340.58,Income,Cash,Salary
Monthly gym subscription,15802.2,Expense,UPI,Fitness
Lab test fees,18083.5,Expense,Card,Health
Internet subscription,24154.9,Expense,Online,Utilities
College fee,46434.6,Expense,Cash,Education
Bus fare,29287.74,Expense,Card,Travel
Monthly gym subscription,47768.61,Expense,Bank Transfer,Fitness
Train ticket,4526.69,Expense,Bank Transfer,Transport
Bought protein powder,2097.36,Expense,Online,Fitness
Train ticket,3133.02,Expense,Online,Transport
Paid house rent,28831.96,Expense,Cash,Rent
Ordered food online,21956.41,Expense,Bank Transfer,Food
Monthly rent,27129.81,Expense,Card,Rent
Petrol for bike,38208.98,Expense,Bank Transfer,Transport
Medicine purchase,14064.75,Expense,Card,Health
Bank transfer salary,11544.23,Income,Bank Transfer,Salary
Paid house rent,12684.48,Expense,Bank Transfer,Rent
Freelance web development,25798.0,Income,Online,Freelance
Lab test fees,36410.16,Expense,Card,Health
Doctor consultation,6758.34,Expense,Online,Health
Movie tickets,3083.58,Expense,Card,Entertainment
Netflix subscription,12583.07,Expense,Bank Transfer,Entertainment
Salary credited,41592.12,Income,Bank Transfer,Salary
Hotel reservation,49429.67,Expense,Card,Travel
Lunch at cafeteria,19442.49,Expense,Bank Transfer,Food
Hotel reservation,35966.07,Expense,Card,Travel
Monthly salary received,15362.59,Income,Card,Salary
Movie tickets,37144.87,Expense,Card,Entertainment
Lab test fees,37295.26,Expense,Online,Health
Online course subscription,2520.53,Expense,Card,Education
Freelance web development,16548.23,Income,Cash,Freelance
Monthly gym subscription,23802.26,Expense,Card,Fitness
Monthly gym subscription,5030.59,Expense,Card,Fitness
Monthly gym subscription,17831.81,Expense,Online,Fitness
Paid house rent,10529.08,Expense,Card,Rent
Apartment maintenance fee,42153.97,Expense,Bank Transfer,Rent
Petrol for bike,26362.22,Expense,Online,Transport
Lunch at cafeteria,1245.51,Expense,UPI,Food
Bus fare,15098.72,Expense,UPI,Travel
Freelance web development,11289.54,Income,Bank Transfer,Freelance
Monthly rent,21299.65,Expense,Cash,Rent
Vegetables and fruits,48584.31,Expense,Online,Grocery
Bought clothes online,44755.47,Expense,Bank Transfer,Shopping
Bank transfer salary,33232.51,Income,Online,Salary
Hotel reservation,5010.34,Expense,Cash,Travel
Medicine purchase,39143.63,Expense,Online,Health
Netflix subscription,47807.61,Expense,Bank Transfer,Entertainment
Bought groceries at supermarket,7334.41,Expense,Card,Grocery
Paid house rent,48513.95,Expense,Bank Transfer,Rent
Medicine purchase,41342.53,Expense,Online,Health
Freelance web development,10070.51,Income,Bank Transfer,Freelance
Netflix subscription,18370.16,Expense,UPI,Entertainment
Movie tickets,11542.0,Expense,Card,Entertainment
Freelance writing payment,22080.71,Income,Cash,Freelance
Apartment maintenance fee,8191.61,Expense,Bank Transfer,Rent
Dinner at restaurant,49103.89,Expense,UPI,Food
Lunch at cafeteria,35657.41,Expense,Card,Food
Shopping for birthday gift,1178.54,Expense,Online,Shopping
Hotel reservation,19460.81,Expense,Cash,Travel
Dinner at restaurant,5720.64,Expense,Cash,Food
Salary credited,25193.52,Income,Cash,Salary
Bus fare,17133.21,Expense,Online,Travel
Vegetables and fruits,24718.24,Expense,Online,Grocery
Water bill,10605.95,Expense,Online,Utilities
Bought protein powder,29232.46,Expense,Card,Fitness
Bought clothes online,2022.18,Expense,Cash,Shopping
Paid house rent,33626.38,Expense,Cash,Rent
College fee,24779.8,Expense,Online,Education
Petrol for bike,1558.26,Expense,Bank Transfer,Transport
Lab test fees,7941.71,Expense,Bank Transfer,Health
Train ticket,6861.06,Expense,Cash,Transport
Freelance writing payment,33737.0,Income,UPI,Freelance
Movie tickets,25573.83,Expense,Cash,Entertainment
Train ticket,43226.39,Expense,Card,Transport
Monthly rent,43331.06,Expense,Online,Rent
Dinner at restaurant,14068.05,Expense,UPI,Food
New shoes from mall,22568.43,Expense,Online,Shopping
Hotel reservation,28674.8,Expense,Bank Transfer,Travel
Bus fare,40643.57,Expense,Card,Travel
College fee,28748.23,Expense,Online,Education
Lab test fees,37243.31,Expense,Card,Health
Apartment maintenance fee,29441.38,Expense,UPI,Rent
Ordered food online,41002.03,Expense,Bank Transfer,Food
Dinner at restaurant,23258.68,Expense,Card,Food
Freelance web development,13540.02,Income,Online,Freelance
Bought protein powder,18207.38,Expense,UPI,Fitness
Online course subscription,5412.51,Expense,Bank Transfer,Education
New shoes from mall,35993.29,Expense,Card,Shopping
Monthly gym subscription,6630.43,Expense,Card,Fitness
Concert ticket,17648.13,Expense,Bank Transfer,Entertainment
Concert ticket,7630.27,Expense,Card,Entertainment
Internet subscription,11595.33,Expense,Cash,Utilities
Train ticket,9804.3,Expense,Card,Transport
Monthly gym subscription,26027.82,Expense,Bank Transfer,Fitness
Bank transfer salary,24379.34,Income,Online,Salary
Movie tickets,11219.76,Expense,Bank Transfer,Entertainment
Yoga class payment,34302.3,Expense,Cash,Fitness
Apartment maintenance fee,40696.9,Expense,Card,Rent
Monthly grocery shopping,42870.26,Expense,Card,Grocery
Lab test fees,5415.46,Expense,Card,Health
Movie tickets,22904.39,Expense,Cash,Entertainment
Lunch at cafeteria,49829.2,Expense,Online,Food
Freelance writing payment,34116.08,Income,Card,Freelance
Bought clothes online,15452.21,Expense,Online,Shopping
Flight ticket booking,6492.14,Expense,Cash,Travel
Yoga class payment,46339.13,Expense,Cash,Fitness
Concert ticket,44549.79,Expense,Cash,Entertainment
Doctor consultation,36105.36,Expense,Online,Health
Medicine purchase,17447.92,Expense,Cash,Health
Freelance writing payment,15348.65,Income,Online,Freelance
Monthly grocery shopping,45005.12,Expense,Bank Transfer,Grocery
New shoes from mall,10979.2,Expense,Online,Shopping
Monthly salary received,21525.22,Income,Cash,Salary
Concert ticket,33164.36,Expense,UPI,Entertainment
Electricity bill payment,23279.54,Expense,Online,Utilities
Bought textbooks,29092.98,Expense,Cash,Education
Dinner at restaurant,12065.59,Expense,Card,Food
Online course subscription,38224.28,Expense,Online,Education
Cab fare,19623.79,Expense,Bank Transfer,Transport
College fee,130.49,Expense,UPI,Education
Bought protein powder,13832.91,Expense,Online,Fitness
Lunch at cafeteria,18802.37,Expense,UPI,Food
Bought protein powder,45145.73,Expense,Bank Transfer,Fitness
Vegetables and fruits,9631.59,Expense,Cash,Grocery
Ordered food online,30700.24,Expense,Card,Food
Salary credited,36416.03,Income,UPI,Salary
Lab test fees,38986.91,Expense,Cash,Health
Movie tickets,36580.24,Expense,Card,Entertainment
Freelance web development,16391.73,Income,Cash,Freelance
Vegetables and fruits,23835.32,Expense,Bank Transfer,Grocery
Dinner at restaurant,6164.08,Expense,Online,Food
College fee,20436.83,Expense,Online,Education
Electricity bill payment,42382.82,Expense,UPI,Utilities
Freelance writing payment,31170.25,Income,Bank Transfer,Freelance
Ordered food online,29739.58,Expense,Cash,Food
Bought protein powder,40948.92,Expense,UPI,Fitness
Petrol for bike,15996.73,Expense,Online,Transport
Dinner at restaurant,36647.92,Expense,Card,Food
Shopping for birthday gift,33738.57,Expense,Cash,Shopping
Bought groceries at supermarket,46492.25,Expense,Card,Grocery
Yoga class payment,38700.08,Expense,Online,Fitness
Medicine purchase,13617.78,Expense,UPI,Health
Hotel reservation,25008.64,Expense,Cash,Travel
Monthly grocery shopping,11723.21,Expense,UPI,Grocery
Monthly grocery shopping,43428.62,Expense,Cash,Grocery
Monthly rent,22317.16,Expense,UPI,Rent
Monthly gym subscription,34164.15,Expense,UPI,Fitness
Electricity bill payment,42720.47,Expense,Cash,Utilities
Electricity bill payment,45360.44,Expense,UPI,Utilities
Shopping for birthday gift,48662.67,Expense,Online,Shopping
Dinner at restaurant,2848.28,Expense,UPI,Food
Doctor consultation,13811.68,Expense,UPI,Health
Salary credited,48772.87,Income,Bank Transfer,Salary
Monthly gym subscription,4533.62,Expense,Card,Fitness
Flight ticket booking,36048.76,Expense,UPI,Travel
Ordered food online,30415.28,Expense,Bank Transfer,Food
Freelance graphic design,11948.37,Income,Card,Freelance
Bought protein powder,35251.15,Expense,Online,Fitness
Bus fare,34299.51,Expense,Bank Transfer,Travel
Lunch at cafeteria,38660.66,Expense,Bank Transfer,Food
Bought groceries at supermarket,29847.61,Expense,Online,Grocery
Concert ticket,21846.98,Expense,Card,Entertainment
Freelance graphic design,2485.71,Income,UPI,Freelance
Paid house rent,31794.24,Expense,Online,Rent
Bought clothes online,8711.52,Expense,Card,Shopping
Salary credited,38049.65,Income,Card,Salary
Bought groceries at supermarket,37904.57,Expense,Card,Grocery
Electricity bill payment,38899.51,Expense,Cash,Utilities
Internet subscription,17746.44,Expense,Bank Transfer,Utilities
Bought groceries at supermarket,32635.9,Expense,Bank Transfer,Grocery
Shopping for birthday gift,41923.36,Expense,Bank Transfer,Shopping
Freelance writing payment,14860.94,Income,Cash,Freelance
Online course subscription,25009.35,Expense,Cash,Education
Train ticket,1912.81,Expense,Card,Transport
Lunch at cafeteria,23501.25,Expense,UPI,Food
Electricity bill payment,44066.12,Expense,Cash,Utilities
Bus fare,14854.55,Expense,Online,Travel
Paid house rent,25503.35,Expense,UPI,Rent
Flight ticket booking,37409.99,Expense,Bank Transfer,Travel
Yoga class payment,20003.94,Expense,Online,Fitness
Petrol for bike,2318.91,Expense,Cash,Transport
Monthly salary received,14540.36,Income,Bank Transfer,Salary
Ordered food online,13895.08,Expense,Cash,Food
Bought clothes online,32253.51,Expense,Cash,Shopping
Netflix subscription,30329.87,Expense,Online,Entertainment
Monthly salary received,11496.98,Income,Cash,Salary
Salary credited,17823.65,Income,Card,Salary
Doctor consultation,32862.55,Expense,Cash,Health
College fee,10498.75,Expense,Card,Education
Movie tickets,8504.24,Expense,Card,Entertainment
Monthly gym subscription,39962.83,Expense,Cash,Fitness
Bus fare,12849.59,Expense,Online,Travel
Electricity bill payment,47906.1,Expense,Bank Transfer,Utilities
Movie tickets,49218.76,Expense,Bank Transfer,Entertainment
Freelance graphic design,40942.71,Income,Online,Freelance
Netflix subscription,7569.65,Expense,Bank Transfer,Entertainment
Lunch at cafeteria,407.56,Expense,Cash,Food
Bought textbooks,24255.79,Expense,Card,Education
Bus fare,19086.96,Expense,UPI,Travel
